Isotope conc Coh b Abs xs: see http://www.ncnr.nist.gov/resources/n-lengths/index.html 
102Pd 	1.02 	7.7(7) 	3.4 
104Pd 	11.14 	7.7(7) 	0.6 
105Pd 	22.33 	5.5 	20(3) 
106Pd 	27.33 	6.4 	0.304 
108Pd 	26.46 	4.1 	8.55 
110Pd 	11.72 	7.7(7) 	0.226 
Ag 	NOVAL 	5.922 	63.3 
107Ag 	51.83 	7.555 	37.6(1.2) 
109Ag 	48.17 	4.165 	91.0(1.0) 
Cd 	NOVAL 	4.87-0.70i 	2520(50) 
106Cd 	1.25 	5(2) 	1 
108Cd 	0.89 	5.4 	1.1 
110Cd 	12.51 	5.9 	11 
111Cd 	12.81 	6.5 	24 
112Cd 	24.13 	6.4 	2.2 
113Cd 	12.22 	-8.0-5.73i 	20600(400) 
114Cd 	28.72 	7.5 	0.34 
116Cd 	7.47 	6.3 	0.075 
In 	NOVAL 	4.065-0.0539i 	193.8(1.5) 
113In 	4.3 	5.39 	12.0(1.1) 
115In 	95.7 	4.01-0.0562i 	202(2) 
Sn 	NOVAL 	6.225 	0.626 
112Sn 	1 	6(1) 	1 
114Sn 	0.7 	6.2 	0.114 
115Sn 	0.4 	6(1) 	30(7) 
116Sn 	14.7 	5.93 	0.14 
117Sn 	7.7 	6.48 	2.3 
118Sn 	24.3 	6.07 	0.22 
119Sn 	8.6 	6.12 	2.2 
120Sn 	32.4 	6.49 	0.14 
122Sn 	4.6 	5.74 	0.18 
124Sn 	5.6 	5.97 	0.133 
Sb 	NOVAL 	5.57 	4.91 
121Sb 	57.3 	5.71 	5.75 
123Sb 	42.7 	5.38 	3.8 
Te 	NOVAL 	5.80 	4.7 
120Te 	0.096 	5.3 	2.3 
122Te 	2.6 	3.8 	3.4 
123Te 	0.908 	-0.05-0.116i 	418(30) 
124Te 	4.816 	7.96 	6.8(1.3) 
125Te 	7.14 	5.02 	1.55 
126Te 	18.95 	5.56 	1.04 
128Te 	31.69 	5.89 	0.215 
130Te 	33.8 	6.02 	0.29 
I 	100 	5.28 	6.15 
Xe 	NOVAL 	4.92 	23.9(1.2) 
Cs 	100 	5.42 	29.0(1.5) 
Ba 	NOVAL 	5.07 	1.1 
130Ba 	0.11 	-3.6 	30(5) 
132Ba 	0.1 	7.8 	7 
134Ba 	2.42 	5.7 	2.0(1.6) 
